Código Imóvel;Logradouro;CEP;Bairro;Loteamento;Nº Imóvel;Lote;Quadra
11837;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;263;14;I
11838;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;13;I
11839;RUA IRAJA;13318-000;JACARE;RES. H. PINDORAMA I;281;13;H
11840;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;313;12;I
11841;RUA IRAJA;13318-000;JACARE;RES. H. PINDORAMA I;303;12;H
11842;RUA IPANEMA;13318-000;JACARE;RES. H. PINDORAMA I;77;11;I
11843;RUA IRAJA;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;11;H
11844;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;590;10;H
11845;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;542;9;H
11846;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;8;H
11847;RUA MOEMA;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;7;H
11848;RUA IPANEMA;13318-000;JACARE;RES. H. PINDORAMA I;99;10;I
11849;RUA MOEMA;13318-000;JACARE;RES. H. PINDORAMA I;266;6;H
11850;RUA IPANEMA;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;9;I
11851;RUA IPANEMA;13318-000;JACARE;RES. H. PINDORAMA I;143;8;I
11852;RUA IPANEMA;13318-000;JACARE;RES. H. PINDORAMA I;165;7;I
11853;RUA MOEMA;13318-000;JACARE;RES. H. PINDORAMA I;328;5;H
11854;RUA MOEMA;13318-000;JACARE;RES. H. PINDORAMA I;360;4;H
11855;RUA MOEMA;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;3;H
11856;RUA MOEMA;13318-000;JACARE;RES. H. PINDORAMA I;260;2;H
11857;RUA IPANEMA;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;13;J
11858;RUA MOEMA;13318-000;JACARE;RES. H. PINDORAMA I;238;1;H
11859;RUA IPANEMA;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;12;J
